
root@lamp-s-1vcpu-1gb-tor1-01:~# clear
root@lamp-s-1vcpu-1gb-tor1-01:~# tcpdump -n -i eth0
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), capture size 262144 bytes
19:16:10.855527 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 3575530679:3575530787, ack 3367172592, win 310, length 108
19:16:10.994810 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 133340:133496, ack 37, win 310, length 156
19:16:10.994962 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 133496:133652, ack 37, win 310, length 156
19:16:10.995137 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 133652:133808, ack 37, win 310, length 156
19:16:10.995264 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 133808:133964, ack 37, win 310, length 156
19:16:10.995346 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 133964:134120, ack 37, win 310, length 156
19:16:10.995516 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 134120:134276, ack 37, win 310, length 156
19:16:10.995671 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 134276:134432, ack 37, win 310, length 156
19:16:10.995783 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 134432:134588, ack 37, win 310, length 156
19:16:10.995912 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 134588:134744, ack 37, win 310, length 156
19:16:10.996024 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 134744:134900, ack 37, win 310, length 156
19:16:10.996128 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 134900:135056, ack 37, win 310, length 156
19:16:10.996230 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 135056:135212, ack 37, win 310, length 156
19:16:10.996332 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 135212:135368, ack 37, win 310, length 156
19:16:10.996434 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 135368:135524, ack 37, win 310, length 156
19:16:10.996535 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 135524:135680, ack 37, win 310, length 156
19:16:10.996639 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 135680:135836, ack 37, win 310, length 156
19:16:10.996747 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 135836:135992, ack 37, win 310, length 156
19:16:10.996854 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 135992:136148, ack 37, win 310, length 156
19:16:10.996960 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 136148:136304, ack 37, win 310, length 156
19:16:10.997070 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 136304:136460, ack 37, win 310, length 156
19:16:10.997183 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 136460:136616, ack 37, win 310, length 156
19:16:10.997290 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 136616:136772, ack 37, win 310, length 156
19:16:10.997394 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 136772:136928, ack 37, win 310, length 156
19:16:10.997499 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 136928:137084, ack 37, win 310, length 156
19:16:10.997603 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 137084:137240, ack 37, win 310, length 156
19:16:10.997707 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 137240:137396, ack 37, win 310, length 156
19:16:10.997816 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 137396:137552, ack 37, win 310, length 156
19:16:10.997956 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 137552:137708, ack 37, win 310, length 156
19:16:10.998090 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 137708:137864, ack 37, win 310, length 156
19:16:10.998208 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 137864:138020, ack 37, win 310, length 156
19:16:10.998315 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 138020:138176, ack 37, win 310, length 156
19:16:10.998417 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 138176:138332, ack 37, win 310, length 156
19:16:10.998519 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 138332:138488, ack 37, win 310, length 156
19:16:10.998621 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 138488:138644, ack 37, win 310, length 156
19:16:10.998725 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 138644:138800, ack 37, win 310, length 156
19:16:10.998829 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 138800:138956, ack 37, win 310, length 156
19:16:10.998932 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 138956:139112, ack 37, win 310, length 156
19:16:10.999047 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 139112:139268, ack 37, win 310, length 156
19:16:10.999154 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 139268:139424, ack 37, win 310, length 156
19:16:10.999256 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 139424:139580, ack 37, win 310, length 156
19:16:10.999358 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 139580:139736, ack 37, win 310, length 156
19:16:10.999458 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 139736:139892, ack 37, win 310, length 156
19:16:10.999562 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 139892:140048, ack 37, win 310, length 156
19:16:10.999664 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 140048:140204, ack 37, win 310, length 156
19:16:10.999766 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 140204:140360, ack 37, win 310, length 156
19:16:10.999869 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 140360:140516, ack 37, win 310, length 156
19:16:10.999995 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 140516:140672, ack 37, win 310, length 156
19:16:11.000104 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 140672:140828, ack 37, win 310, length 156
19:16:11.000251 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 140828:140984, ack 37, win 310, length 156
19:16:11.000360 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 140984:141140, ack 37, win 310, length 156
19:16:11.000412 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 141140:141296, ack 37, win 310, length 156
19:16:11.000547 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 141296:141572, ack 37, win 310, length 276
19:16:11.000663 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 141572:141728, ack 37, win 310, length 156
19:16:11.000776 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 141728:141884, ack 37, win 310, length 156
19:16:11.000887 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 141884:142040, ack 37, win 310, length 156
19:16:11.000999 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 142040:142196, ack 37, win 310, length 156
19:16:11.001168 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 142196:142352, ack 37, win 310, length 156
19:16:11.001322 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 142352:142508, ack 37, win 310, length 156
19:16:11.001447 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 142508:142664, ack 37, win 310, length 156
19:16:11.001565 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 142664:142820, ack 37, win 310, length 156
19:16:11.001681 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 142820:142976, ack 37, win 310, length 156
19:16:11.001795 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 142976:143132, ack 37, win 310, length 156
19:16:11.001929 IP 198.96.85.21.63313 > 159.203.42.239.22: Flags [P.], seq 37:73, ack 127384, win 512, length 36
19:16:11.002076 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 143132:143288, ack 73, win 310, length 156
19:16:11.002204 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 143288:143436, ack 73, win 310, length 148
19:16:11.002310 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 143436:143592, ack 73, win 310, length 156
19:16:11.002413 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 143592:143748, ack 73, win 310, length 156
19:16:11.002519 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 143748:143904, ack 73, win 310, length 156
19:16:11.002623 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 143904:144060, ack 73, win 310, length 156
19:16:11.002665 IP 198.96.85.21.63313 > 159.203.42.239.22: Flags [P.], seq 73:109, ack 127384, win 512, length 36
19:16:11.002803 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 144060:144216, ack 109, win 310, length 156
^C
933 packets captured
944 packets received by filter
9 packets dropped by kernel
root@lamp-s-1vcpu-1gb-tor1-01:~#
